,school_name,major_name,major_link,salary
144,國立臺灣科技大學,電資研究所,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5020000000&mid=520122,66940
145,國立臺灣科技大學,機械工程學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5020000000&mid=520201,61350
146,國立臺灣科技大學,營建工程學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5020000000&mid=520311,56280
147,國立臺灣科技大學,化學工程學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5020000000&mid=520401,55410
148,國立臺灣科技大學,材料科學學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5020000000&mid=520502,50050
149,國立臺灣科技大學,建築學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5020000000&mid=580101,47290
150,國立臺北科技大學,應用英文學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5023000000&mid=220311,35230
151,國立臺北科技大學,創意設計系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5023000000&mid=230111,37500
152,國立臺北科技大學,互動設計系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5023000000&mid=230213,37500
153,國立臺北科技大學,工業設計學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5023000000&mid=230303,37500
154,國立臺北科技大學,經營管理學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5023000000&mid=340303,49070
155,國立臺北科技大學,資訊與財金管理學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5023000000&mid=340511,0
156,國立臺北科技大學,文化事業系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5023000000&mid=349930,0
157,國立臺北科技大學,電機工程學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5023000000&mid=520101,60830
158,國立臺北科技大學,電子學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5023000000&mid=520103,60830
159,國立臺北科技大學,光電工程學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5023000000&mid=520106,60830
160,國立臺北科技大學,資訊工程學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5023000000&mid=520114,54410
161,國立臺北科技大學,電資研究所,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5023000000&mid=520122,60830
162,國立臺北科技大學,機械工程學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5023000000&mid=520201,58870
163,國立臺北科技大學,車輛工程系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5023000000&mid=520202,58870
164,國立臺北科技大學,土木工程學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5023000000&mid=520301,52750
165,國立臺北科技大學,化學工程與生物科技學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5023000000&mid=520402,48710
166,國立臺北科技大學,分子科學學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5023000000&mid=520408,48710
167,國立臺北科技大學,材料及資源工程系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5023000000&mid=520507,52130
168,國立臺北科技大學,工業工程與科技系統工程學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5023000000&mid=520601,57810
169,國立臺北科技大學,工程科技學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5023000000&mid=521301,53410
170,國立臺北科技大學,能源與冷凍空調工程學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5023000000&mid=529902,50710
171,國立臺北科技大學,建築學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5023000000&mid=580101,48330
172,國立臺北藝術大學,美術學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5026000000&mid=210101,36100
173,國立臺北藝術大學,音樂學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5026000000&mid=210401,36100
174,國立臺北藝術大學,傳統音樂學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5026000000&mid=210408,36100
175,國立臺北藝術大學,戲劇學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5026000000&mid=210501,36100
176,國立臺北藝術大學,劇場設計學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5026000000&mid=210507,36100
177,國立臺北藝術大學,舞蹈學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5026000000&mid=210511,36100
178,國立臺北藝術大學,電影創作學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5026000000&mid=210602,36100
179,國立臺北藝術大學,動畫學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5026000000&mid=210614,36100
180,國立臺北藝術大學,新媒體藝術學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5026000000&mid=210903,36100
181,國立臺北護理健康大學,生死與健康心理諮商系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5037000000&mid=310521,0
182,國立臺北護理健康大學,健康事業管理系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5037000000&mid=340904,0
183,國立臺北護理健康大學,資訊管理學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5037000000&mid=480109,40590
184,國立臺北護理健康大學,語言治療學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5037000000&mid=720404,44700
185,國立臺北護理健康大學,護理學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5037000000&mid=720601,44700
186,國立臺北護理健康大學,長期照護系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5037000000&mid=720607,44700
187,國立臺北護理健康大學,高齡健康照護系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5037000000&mid=720622,0
188,國立臺北護理健康大學,助產及婦女健康照護系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5037000000&mid=720623,44700
